,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
46,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen, Kimetsu no Yaiba: Infinity Train, Demon Slayer Movie: Infinity Train",劇場版 鬼滅の刃 無限列車編,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Movie,1,Finished Airing,"Oct 16, 2020",,,"Aniplex , Shueisha",Aniplex of America,ufotable,Manga,"Action Action, Fantasy Fantasy",,Shounen Shounen,1 hr. 56 min.,R - 17+ (violence & profanity),"8.59 1 (scored by 1010169 1,010,169 users) 1 indicates a weighted score .",#88 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#71,"1,521,658","13,167"
47,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"DanMachi, Is It Wrong That I Want to Meet You in a Dungeon",ダンジョンに出会いを求めるのは間違っているだろうか,Is It Wrong to Try to Pick Up Girls in a Dungeon?,TV,13,Finished Airing,"Apr 4, 2015 to Jun 27, 2015",Spring 2015,Saturdays at 01:05 (JST),"Genco , Movic , Warner Bros. Japan , KlockWorx , SoftBank Creative , Showgate , MAGES. , FuRyu",Sentai Filmworks,J.C.Staff,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"7.54 1 (scored by 945913 945,913 users) 1 indicates a weighted score .",#1688 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#72,"1,517,570","11,949"
48,Mob Psycho 100 II,"Mob Psycho 100 2nd Season, Mob Psycho Hyaku, Mob Psycho One Hundred",モブサイコ100 II,Mob Psycho 100 II,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,Mondays at 23:00 (JST),"Warner Bros. Japan , KlockWorx , BS Fuji , Hakuhodo DY Music & Pictures , Shogakukan",Funimation,Bones,Web manga,"Action Action, Comedy Comedy, Supernatural Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,"8.79 1 (scored by 956862 956,862 users) 1 indicates a weighted score .",#36 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#73,"1,516,121","32,262"
49,Elfen Lied,"Elfen Song, Elfic Song, Elf Song",エルフェンリート,Elfen Lied,TV,13,Finished Airing,"Jul 25, 2004 to Oct 17, 2004",Summer 2004,Sundays at 22:30 (JST),"VAP , Genco",ADV Films,Arms,Manga,"Action Action, Drama Drama, Horror Horror, Romance Romance, Supernatural Supernatural, Suspense Suspense","Gore Gore, Psychological Psychological",Seinen Seinen,25 min. per ep.,R+ - Mild Nudity,"7.47 1 (scored by 872546 872,546 users) 1 indicates a weighted score .",#1910 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#74,"1,506,517","24,091"
50,Highschool of the Dead,"Gakuen Mokushiroku: Highschool of the Dead, HOTD, HSOTD",学園黙示録 HIGHSCHOOL OF THE DEAD,High School of the Dead,TV,12,Finished Airing,"Jul 5, 2010 to Sep 20, 2010",Summer 2010,Mondays at 11:30 (JST),"Geneon Universal Entertainment , AT-X , Showgate",Sentai Filmworks,Madhouse,Manga,"Action Action, Horror Horror, Supernatural Supernatural, Suspense Suspense, Ecchi Ecchi","Gore Gore, Survival Survival",Shounen Shounen,23 min. per ep.,R+ - Mild Nudity,"7.07 1 (scored by 940879 940,879 users) 1 indicates a weighted score .",#3879 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#75,"1,501,727","10,245"
51,Vinland Saga,,ヴィンランド・サガ,,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"Production I.G , Dentsu , Kodansha , Twin Engine",Sentai Filmworks,Wit Studio,Manga,"Action Action, Adventure Adventure, Drama Drama","Gore Gore, Historical Historical",Seinen Seinen,24 min. per ep.,R - 17+ (violence & profanity),"8.75 1 (scored by 858770 858,770 users) 1 indicates a weighted score .",#47 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#77,"1,494,780","46,792"
52,Fate/Zero,,フェイト/ゼロ,Fate/Zero,TV,13,Finished Airing,"Oct 2, 2011 to Dec 25, 2011",Fall 2011,Sundays at 00:00 (JST),"Aniplex , Nitroplus , Seikaisha , Notes",Aniplex of America,ufotable,Light novel,"Action Action, Fantasy Fantasy, Supernatural Supernatural",,,27 min. per ep.,R - 17+ (violence & profanity),"8.27 1 (scored by 857531 857,531 users) 1 indicates a weighted score .",#282 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#78,"1,494,749","33,604"
53,Chainsaw Man,,チェンソーマン,Chainsaw Man,TV,12,Finished Airing,"Oct 12, 2022 to Dec 28, 2022",Fall 2022,Wednesdays at 00:00 (JST),dugout,"None found, add some",MAPPA,Manga,"Action Action, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"8.52 1 (scored by 812748 812,748 users) 1 indicates a weighted score .",#123 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#79,"1,484,059","46,353"
54,Fullmetal Alchemist,"Hagane no Renkinjutsushi, FMA, Full Metal Alchemist",鋼の錬金術師,Fullmetal Alchemist,TV,51,Finished Airing,"Oct 4, 2003 to Oct 2, 2004",Fall 2003,Saturdays at 18:00 (JST),"Aniplex , Dentsu , Square Enix , Mainichi Broadcasting System","Funimation , Aniplex of America",Bones,Manga,"Action Action, Adventure Adventure, Award Winning Award Winning, Drama Drama, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"8.11 1 (scored by 888762 888,762 users) 1 indicates a weighted score .",#473 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#81,"1,465,237","25,973"
55,Noragami Aragoto,,ノラガミ ARAGOTO,Noragami Aragoto,TV,13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",Fall 2015,Saturdays at 01:05 (JST),"Dentsu , Shochiku , Kodansha , Ai Addiction Inc. , Avex Pictures , A-Sketch",Funimation,Bones,Manga,"Action Action, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.15 1 (scored by 892270 892,270 users) 1 indicates a weighted score .",#425 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#82,"1,448,588","11,521"
56,Tensei shitara Slime Datta Ken,TenSura,転生したらスライムだった件,That Time I Got Reincarnated as a Slime,TV,24,Finished Airing,"Oct 2, 2018 to Mar 19, 2019",Fall 2018,Tuesdays at 00:00 (JST),"Lantis , Kodansha , BS11 , Bandai Namco Arts , Micro Magazine Publishing",Funimation,8bit,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Isekai Isekai, Reincarnation Reincarnation",Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.14 1 (scored by 868059 868,059 users) 1 indicates a weighted score .",#433 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#84,"1,424,672","29,869"
57,Ansatsu Kyoushitsu 2nd Season,"Ansatsu Kyoushitsu Season 2, Ansatsu Kyoushitsu Final Season",暗殺教室　第２期,Assassination Classroom Second Season,TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,Fridays at 01:25 (JST),"Dentsu , Studio Hibari , Fuji TV , DAX Production , Avex Pictures , Shueisha , Kansai Telecasting",Funimation,Lerche,Manga,"Action Action, Comedy Comedy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.48 1 (scored by 886703 886,703 users) 1 indicates a weighted score .",#137 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#85,"1,423,783","17,584"
