,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
21,Tensei shitara Slime Datta Ken,TenSura,転生したらスライムだった件,That Time I Got Reincarnated as a Slime,TV,24,Finished Airing,"Oct 2, 2018 to Mar 19, 2019",Fall 2018,Tuesdays at 00:00 (JST),"Lantis , Kodansha , BS11 , Bandai Namco Arts , Micro Magazine Publishing",Funimation,8bit,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Isekai Isekai, Reincarnation Reincarnation",Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.14 1 (scored by 868059 868,059 users) 1 indicates a weighted score .",#433 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#84,"1,424,672","29,869"
22,Made in Abyss,,メイドインアビス,Made in Abyss,TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,Fridays at 21:30 (JST),"AT-X , Takeshobo , Sony Music Communications , Kadokawa Media House , Cygames , Kanetsu Investment , Kadokawa , Global Solutions , IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure Adventure, Drama Drama, Fantasy Fantasy, Mystery Mystery, Sci-Fi Sci-Fi",,,25 min. per ep.,R - 17+ (violence & profanity),"8.65 1 (scored by 742541 742,541 users) 1 indicates a weighted score .",#71 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#93,"1,368,636","43,915"
23,Howl no Ugoku Shiro,,ハウルの動く城,Howl's Moving Castle,Movie,1,Finished Airing,"Nov 20, 2004",,,"d-rights , Tokuma Shoten",Disney Platform Distribution,Studio Ghibli,Novel,"Adventure Adventure, Award Winning Award Winning, Drama Drama, Fantasy Fantasy, Romance Romance",,,1 hr. 59 min.,G - All Ages,"8.66 1 (scored by 917823 917,823 users) 1 indicates a weighted score .",#68 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#99,"1,327,060","28,765"
24,Mushoku Tensei: Isekai Ittara Honki Dasu,Jobless Reincarnation: I Will Seriously Try If I Go To Another World,無職転生 ～異世界行ったら本気だす～,Mushoku Tensei: Jobless Reincarnation,TV,11,Finished Airing,"Jan 11, 2021 to Mar 22, 2021",Winter 2021,Mondays at 00:00 (JST),"Frontier Works , TOHO , TOHO animation , Hakuhodo DY Music & Pictures , BS11 , Egg Firm , Kadokawa , GREE , Toho Music",Funimation,Studio Bind,Light novel,"Adventure Adventure, Drama Drama, Fantasy Fantasy, Ecchi Ecchi","Isekai Isekai, Reincarnation Reincarnation",,23 min. per ep.,R - 17+ (violence & profanity),"8.37 1 (scored by 800351 800,351 users) 1 indicates a weighted score .",#198 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#101,"1,296,123","33,238"
25,Mononoke Hime,Mononoke Hime,もののけ姫,Princess Mononoke,Movie,1,Finished Airing,"Jul 12, 1997",,,"Tokuma Shoten , Nippon Television Network",GKIDS,Studio Ghibli,Original,"Action Action, Adventure Adventure, Award Winning Award Winning, Fantasy Fantasy",,,2 hr. 13 min.,PG-13 - Teens 13 or older,"8.66 1 (scored by 805888 805,888 users) 1 indicates a weighted score .",#69 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#105,"1,247,306","21,831"
26,Samurai Champloo,SAMURAI CHAMPLOO,サムライチャンプルー,Samurai Champloo,TV,26,Finished Airing,"May 20, 2004 to Mar 19, 2005",Spring 2004,Saturdays at 10:30 (JST),"Victor Entertainment , Fuji TV , Barnum Studio , Tokuma Shoten , flying DOG","Funimation , Geneon Entertainment USA",Manglobe,Original,"Action Action, Adventure Adventure, Comedy Comedy","Historical Historical, Samurai Samurai",,24 min. per ep.,R - 17+ (violence & profanity),"8.51 1 (scored by 634463 634,463 users) 1 indicates a weighted score .",#128 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#110,"1,232,886","37,755"
27,Dragon Ball Z,"DBZ, Dragonball Z",ドラゴンボールZ,Dragon Ball Z,TV,291,Finished Airing,"Apr 26, 1989 to Jan 31, 1996",Spring 1989,Wednesdays at 19:00 (JST),"Fuji TV , Shueisha",Funimation,Toei Animation,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Martial Arts Martial Arts, Super Power Super Power",Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.17 1 (scored by 840587 840,587 users) 1 indicates a weighted score .",#403 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#112,"1,219,414","38,044"
28,Dororo,Dororo to Hyakkimaru,どろろ,Dororo,TV,24,Finished Airing,"Jan 7, 2019 to Jun 24, 2019",Winter 2019,Mondays at 22:30 (JST),Twin Engine,Sentai Filmworks,"Tezuka Productions , MAPPA",Manga,"Action Action, Adventure Adventure, Supernatural Supernatural","Historical Historical, Mythology Mythology, Samurai Samurai",Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"8.25 1 (scored by 620666 620,666 users) 1 indicates a weighted score .",#310 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#113,"1,213,898","20,729"
29,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Dai San Bu Kuujou Joutarou: Mirai e no Isan, JoJo's Bizarre Adventure Part 3",ジョジョの奇妙な冒険 スターダストクルセイダース,JoJo's Bizarre Adventure: Stardust Crusaders,TV,24,Finished Airing,"Apr 5, 2014 to Sep 13, 2014",Spring 2014,Saturdays at 00:30 (JST),"Yomiko Advertising , Warner Bros. Japan , KlockWorx , Medicos Entertainment , Shueisha",VIZ Media,David Production,Manga,"Action Action, Adventure Adventure, Supernatural Supernatural",,Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"8.10 1 (scored by 857281 857,281 users) 1 indicates a weighted score .",#483 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#115,"1,208,892","22,086"
30,Nanatsu no Taizai: Imashime no Fukkatsu,Seven Deadly Sins Season 2,七つの大罪 戒めの復活,The Seven Deadly Sins: Revival of the Commandments,TV,24,Finished Airing,"Jan 13, 2018 to Jun 30, 2018",Winter 2018,Saturdays at 06:30 (JST),"Aniplex , Dentsu , Mainichi Broadcasting System , Kodansha , Movic","None found, add some",A-1 Pictures,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.57 1 (scored by 699281 699,281 users) 1 indicates a weighted score .",#1547 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#127,"1,119,567","3,752"
31,Goblin Slayer,,ゴブリンスレイヤー,Goblin Slayer,TV,12,Finished Airing,"Oct 7, 2018 to Dec 30, 2018",Fall 2018,Sundays at 00:30 (JST),"Sony Pictures Entertainment , Frontier Works , AT-X , SoftBank Creative , Bushiroad , Hakuhodo DY Music & Pictures , Good Smile Film , Artist Management Office",Funimation,White Fox,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.42 1 (scored by 670225 670,225 users) 1 indicates a weighted score .",#2140 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#129,"1,117,773","7,455"
32,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, Diamond is not Crash",ジョジョの奇妙な冒険 ダイヤモンドは砕けない,JoJo's Bizarre Adventure: Diamond Is Unbreakable,TV,39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",Spring 2016,Saturdays at 00:30 (JST),Warner Bros. Japan,VIZ Media,David Production,Manga,"Action Action, Adventure Adventure, Supernatural Supernatural",,Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.50 1 (scored by 769841 769,841 users) 1 indicates a weighted score .",#131 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#130,"1,114,881","39,457"
